caso_numero,victima_edad,victima_identidad_genero,victima_tipo,hecho_provincia,hecho_modalidad_comisiva,hecho_fecha,año,mes
798,22,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-12-29,2016,12
1128,58,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2016-12-29,2016,12
800,0,HOMBRE,VINCULADO,Santiago del Estero,GOLPES,2016-12-30,2016,12
802,42,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2017-01-04,2017,1
801,18,MUJER,PRINCIPAL,Salta,AHORCAMIENTO,2017-01-05,2017,1
803,35,MUJER,PRINCIPAL,Salta,ESTRANGULAMIENTO,2017-01-06,2017,1
805,23,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2017-01-09,2017,1
1194,38,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2017-01-11,2017,1
806,18,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2017-01-12,2017,1
808,34,MUJER,PRINCIPAL,Cordoba,ACUCHILLAMIENTO,2017-01-15,2017,1
